1,-10,4,-0.0861573,-0.270659
1,-10,6,-0.0907528,-0.020576
1,-10,5,-0.088127,0.227479
1,-10,3,-0.0848181,-0.0456952
1,-10,1,-0.083174,-0.0527341
1,-10,2,-0.0838549,0.0930033
1,-10,8,-0.0861309,0.123387
1,-10,9,-0.0786999,0.588252
1,-9,1,-0.0925357,-0.319212
1,-10,7,-0.08995,0.0454025
1,-9,2,-0.093126,0.288375
1,-10,10,-0.0722078,0.361471
1,-9,3,-0.0944219,0.0998076
1,-9,7,-0.0963427,0.0511802
1,-9,4,-0.0965025,0.200456
1,-9,8,-0.0881133,0.0289802
1,-9,6,-0.0999234,-1.91426
1,-9,5,-0.0992796,-0.120758
1,-9,9,-0.080119,-0.00598421
1,-8,4,-0.109525,-0.779918
1,-8,2,-0.104903,-0.0499936
1,-9,10,-0.0732123,0.101191
1,-8,3,-0.106823,0.552204
1,-8,1,-0.10363,0.0864282
1,-8,5,-0.112044,0.0883967
1,-8,7,-0.100153,-0.145251
1,-8,6,-0.108453,-0.0646713
1,-8,10,-0.0741464,0.116616
1,-8,8,-0.0898616,-0.05192
1,-8,9,-0.0812142,-0.048958
1,-7,1,-0.118581,-0.961617
1,-7,2,-0.119891,0.438055
1,-7,4,-0.126719,0.0835748
1,-7,5,-0.123489,0.189061
1,-7,3,-0.122624,0.109685
1,-7,6,-0.115564,-0.300694
1,-7,7,-0.102159,0.386411
1,-7,8,-0.0912953,-0.0175818
1,-7,9,-0.0825198,0.0357951
1,-6,1,-0.137368,-0.135463
1,-7,10,-0.0749639,-0.305151
1,-6,3,-0.144829,-0.146814
1,-6,2,-0.140215,0.774832
1,-6,4,-0.14323,-0.0831429
1,-6,7,-0.104361,-0.178918
1,-6,6,-0.118472,-0.0519481
1,-6,5,-0.135146,0.284744
1,-6,8,-0.0927968,-0.00557319
1,-6,9,-0.083321,0.00156333
1,-6,10,-0.0759293,0.0279079
1,-5,3,-0.170297,-0.213736
1,-5,1,-0.164933,-0.0871313
1,-5,2,-0.168603,0.785756
1,-5,5,-0.141347,-0.236034
1,-5,4,-0.160384,0.302826
1,-5,6,-0.121527,-1.37338
1,-5,7,-0.1058,-0.11516
1,-4,1,-0.203186,-0.205144
1,-5,9,-0.0844607,0.0987029
1,-5,10,-0.0763416,-0.411948
1,-5,8,-0.0941035,1.29996
1,-4,3,-0.194859,0.506277
1,-4,2,-0.208933,-0.509984
1,-4,4,-0.174527,0.162866
1,-4,5,-0.144717,0.126213
1,-4,7,-0.107909,0.11748
1,-4,6,-0.12349,0.0173885
1,-4,9,-0.0853462,0.534972
1,-4,8,-0.0948184,-18.2142
1,-4,10,-0.0770302,-2.30774
1,-3,3,-0.223086,0.194763
1,-3,1,-0.2684,2.27904
1,-3,2,-0.246732,0.181739
1,-3,5,-0.148805,-0.15445
1,-3,4,-0.178902,-0.406331
1,-3,8,-0.0961219,-0.0384493
1,-3,9,-0.0856796,-0.00731167
1,-3,6,-0.125255,-0.0417614
1,-3,7,-0.108877,-0.146752
1,-2,1,-0.332799,-1.28257
1,-3,10,-0.0776723,0.0505524
1,-2,2,-0.292765,0.0297509
1,-2,5,-0.149852,-0.0349264
1,-2,4,-0.184253,-0.032041
1,-2,3,-0.236726,1.1282
1,-2,7,-0.109422,-0.0180204
1,-2,6,-0.127603,0.0519395
1,-2,8,-0.0969087,0.00524902
